207696;5025;2024;0;0;58000;1646099,98;20;0;0;0;0;724992,12;625540,93;850;98000;0;14726,93;240010;0;0;0;0;67439,27;1821317,97;2656,17;0;0;0;0;783455,89;625986,03;3589,14;115220,09;0;30154,96;239956,26;0;0;CAMPO DE BELCHITE;22
208361;5026;2024;0;0;215551;2375549,4;1;1;90000;0;0;1447486,51;962926,36;5000;169688,53;0;96001;0;0;0;0;0;271338,31;2353398,31;0;0;90000;0;0;1304825,62;865554,86;4699,7;143492,62;0;11240,95;0;0;0;BAJO MARTIN;23
207735;5028;2024;0;0;609600;2799395;0;0;90000;0;0;2271430;974395;1000;109170;20000;123000;0;0;0;0;0;579143,27;2861957,49;0;0;17540,08;0;0;2099500,47;879912,27;6000;65436,25;0;89601,52;465209,06;0;0;JILOCA;25
208695;5029;2024;0;0;62300;2835786,58;250;16000;0;0;0;1199344,78;604282,98;3378,45;303524,52;0;780927,44;0;0;22878,41;0;0;102971,98;1997302,32;713,53;20098,26;0;0;0;1160728,06;331632,99;3045,06;323274,04;0;141785,11;0;0;23650,89;CUENCAS MINERAS;26
209095;5030;2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;802419,28;2225357,76;0;0;1139999,7;0;0;1620437,07;971960,01;7718,35;206623,38;0;108251;0;0;0;ANDORRA/SIERRA DE ARCOS;27
207995;5031;2024;0;0;84925,4;3670640,07;0;0;113508,94;0;0;2884993,55;760416,41;1675;65898,04;0;156091,41;0;0;0;0;0;89978,12;3742728,46;3,01;0;16607;0;0;2737788,92;733998,92;4840,23;113137,1;0;105591,91;0;0;0;BAJO ARAGON;28
208075;5032;2024;0;0;195500;4023670;0;0;90000;0;0;2333145;730045;0;1120080;25400;100500;0;0;0;0;0;237256,2;3968032,97;0;0;90000;134,96;0;2181381,51;628220,62;0;1273550,86;0;149540,24;244558,02;0;0;COMUNIDAD DE TERUEL;29
207955;5033;2024;0;0;44700;1870038,56;0;90000;86591,64;0;0;1112406,91;452370,95;1150;252382,99;20791,03;219764,28;32464,04;0;0;0;0;77941,64;1910332,77;0;0;376591,64;0;0;1092389,94;446946,88;1240,52;242705,47;0;90514,71;32464,04;0;0;MAESTRAZGO;30
208015;5034;2024;0;0;149201,37;1705627,38;40,99;0;144453,06;0;0;1126930,98;303372,27;500;412647,83;0;155871,72;0;0;0;0;0;99031,47;1866014,86;0;200;344453,05;0;0;1118762,98;304756,59;3496,44;356674,16;0;92981,32;0;0;0;SIERRA DE ALBARRACIN;31
208775;5035;2024;0;0;593556;2201858,54;0;0;90000;0;0;1168220;1008637,49;0;618557,05;0;90000;0;0;0;0;0;581333,34;2034436,02;0;0;90000;0;0;1006734,5;955129,46;4095,53;566321,67;0;90000;0;0;0;GUDAR-JAVALAMBRE;32
208136;5036;2024;0;0;194000;2267791,15;13050;0;93220;0;0;1708019,74;609721,41;2400;128700;15000;104220;0;0;0;0;0;177934,18;2417967,52;19826,92;0;163249,47;0;0;1794257,32;578690,39;5315,05;187603,17;0;580315,68;263476,03;0;0;MATARRAÑA/MATARRANYA;33
208295;7941;2024;0;0;644892,29;4758956;0;0;138894;0;0;2801849,51;1559484,03;7000;886991,25;11500;205117,5;0;0;70800;0;0;557170,29;4857060,29;14634;0;130000;0;0;2745788,19;1548447,58;4637,62;742802,35;0;17205,87;0;0;70000;JACETANIA, LA;01
208739;5027;2024;0;0;180296;2365333,23;200;0;0;0;0;1483467,84;916364,13;3000;138997,26;0;4000;0;0;0;0;0;130217,61;2334695,7;103;0;0;0;0;1365634,69;824411,55;2998,89;120859,03;0;1845,02;0;0;0;CAMPO DE DAROCA;24
208155;5005;2024;0;0;234500;4863815,97;500;0;55352;0;0;2326375,86;1253776,6;1000;1403632,04;33330,3;136053,17;0;0;0;0;0;536761,62;4567116,14;0;0;612093,53;0;0;2416274,74;1149430,82;0;1334321,07;0;974450,21;0;0;0;ALTO GALLEGO;02
