EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;0;;;;Deuda Pública;Deuda Pública
2014;1;;;;Servcios Carácter General;Servicios de Carácter General
2014;3;;;;Seg Protecc y Prom Social;Seguridad, Protección y Promoción Social
2014;4;;;;Prod.Bienes Púb. c.social;Producción de Bienes Públicos de Carácter Social
2014;5;;;;Prod.Bien P carac.econom.;Producc. de Bienes Públicos de Carácter Económico
2014;6;;;;Reg Econom Caráct General;Regulación Económica de Carácter General
2014;7;;;;Reg Econ Sect Productivos;Regulación Económica de Sectores Productivos
2014;9;;;;Transfer a otras AA.PP.;Transferencias a otras Administraciones Públicas
2014;0;01;;;Deuda Pública;Deuda Pública
2014;1;11;;;Alta Dirección C.A. y Gob;Alta Dirección de la C.A. y del Gobierno
2014;1;12;;;Administración General;Administración General
2014;1;13;;;Rel. Ext. y Coop. Intern.;Relaciones Exteriores y Cooperación Internacional
2014;1;14;;;Justicia;Justicia
2014;3;31;;;Seg. y Protección Social;Seguridad y Protección Social
2014;3;32;;;Promoción Social;Promoción Social
2014;4;41;;;Sanidad;Sanidad
2014;4;42;;;Educación;Educación
2014;4;43;;;Vivienda y Urbanismo;Vivienda y Urbanismo
2014;4;44;;;Bienestar Comunitario;Bienestar Comunitario
2014;4;45;;;Cultura;Cultura
2014;4;46;;;Otros Srvcios Com. y Soc.;Otros Servicios Comunitarios y Sociales
2014;5;51;;;Infraestructuras Básicas;Infraestructuras Básicas y del Transporte
2014;5;53;;;Infraestructuras Agrarias;Infraestructuras Agrarias
2014;5;54;;;Invest Cient, Téc y Aplic;Investigación Científica, Técnica y Aplicada
2014;5;55;;;Inform Básica y Estadíst;Información Básica y Estadística
2014;6;61;;;Act Económicas Generales;Actuaciones Económicas Generales
2014;6;62;;;Comercio;Comercio
2014;6;63;;;Actividad Financiera;Actividad Financiera
2014;6;64;;;Otras act. carácter econ.;Otras actuaciones de carácter económico
2014;7;71;;;Agricultura y Ganadería;Agricultura y Ganadería
2014;7;72;;;Industria;Industria
2014;7;73;;;Energía y Minas;Energía y Minas
2014;7;75;;;Turismo;Turismo
2014;9;91;;;Transfer AA.PP. Territ;Transferencias a AA.PP. Territoriales
2014;0;01;011;;Deuda Pública;Deuda Pública
2014;1;11;111;;Alta Dirección (Cortes);Alta Dirección de la C.A. (Cortes de Aragón)
2014;1;11;112;;Alta Dirección (P Gob.Ar);Alta Dirección de la C.A. (Presidencia Gob Aragón)
2014;1;12;121;;Servicios Generales;Servicios Generales
2014;1;12;122;;Función Pública;Función Pública
2014;1;12;123;;Formac y perfecc personal;Formación y Perfeccionamiento del personal (IAAP)
2014;1;12;125;;Gastos relat. Admón.Local;Gastos relativos a la Administración Local
2014;1;12;126;;Otros Servicios Generales;Otros Servicios Generales
2014;1;13;131;;Rel. Exteriores;Relaciones Exteriores
2014;1;13;134;;Cooperación Internacional;Cooperación Internacional
2014;1;14;142;;Administración Justicia;Administración de Justicia
2014;3;31;313;;Acción Social;Acción Social
2014;3;31;315;;Relaciones Laborales;Relaciones Laborales
2014;3;32;322;;Promoción del Empleo;Promoción del Empleo
2014;3;32;323;;Promoción Sociocultural;Promoción Sociocultural
2014;3;32;324;;Acción favor Inmigrantes;Acción en favor de los Inmigrantes
2014;4;41;411;;Admón General Sanidad;Administración General de Sanidad
2014;4;41;412;;Hosp,Svcios, Asist y Cent;Hospitales, Svcios, Asistencias y Centros de Salud
2014;4;41;413;;Acciones Públicas Salud;Acciones Públicas relativas a la Salud
2014;4;42;421;;Admón General Educación;Administración General de Educación
2014;4;42;422;;Enseñanza;Enseñanza
2014;4;42;423;;Becas y Ayudas;Becas y Ayudas
2014;4;43;431;;Vivienda;Vivienda
2014;4;43;432;;Urbanismo y Arquitectura;Urbanismo y Arquitectura
2014;4;44;442;;Protecc y Medio Ambiente;Protección y Medio Ambiente
2014;4;44;443;;Otros Srvcios Bstar Com.;Otros servicios de Bienestar Comunitario
2014;4;45;452;;Archivos,Bibliot y Museos;Archivos, Bibliotecas y Museos
2014;4;45;455;;Promoción Cultural;Promoción Cultural
2014;4;45;457;;Deportes y Educ Física;Deportes y Educación Física
2014;4;45;458;;Patr. Hist-Artíst y Arqu.;Patrimonio Histórico-Artístico y Arqueológico
2014;4;46;463;;Asoc y Partic. Ciudadana;Asociación y Participación Ciudadana
2014;5;51;511;;Admón G. Infr. Básic.Tte;Administración General de Infr. Básicas y del Tte
2014;5;51;512;;Recursos Hidráulicos;Recursos Hidráulicos
2014;5;51;513;;Transporte Terrestre;Transporte Terrestre
2014;5;53;531;;Reforma y Dllo Agrario;Reforma y Desarrollo Agrario
2014;5;53;533;;Mejora del Medio Natural;Mejora del Medio Natural
2014;5;54;541;;Ad G. Industria e Innov.;Adm. Gen. de Industria e Innovación
2014;5;54;542;;Invest Técnica y Aplicada;Investigación Técnica y Aplicada
2014;5;55;551;;Estadís, Cartogr y Meteor;Estadística, Cartografía y Meteorología
2014;6;61;611;;Admón Gen. Ec.,Hcda.,Empl;Administración General de Economía, Hacda y Empleo
2014;6;61;612;;Regulac Económica General;Regulación Económica General
2014;6;61;615;;Asuntos de la C.E;Asuntos de la Comunidad Europea
2014;6;62;622;;Comercio Interior;Comercio Interior
2014;6;62;623;;Comercio Exterior;Comercio Exterior
2014;6;63;631;;Administración Financiera;Administración Financiera
2014;6;64;641;;Junta Contratación Adtva.;Junta de Contratación Administrativa
2014;6;64;642;;Defensa Competencia;Defensa de la Competencia
2014;7;71;711;;Ad.G Agric,Ganad. Med.Amb;Adm.Gener. Agricultura, Ganadería y Medio Ambiente
2014;7;71;712;;Promoción Población Rural;Promoción de la Población Rural
2014;7;71;716;;Calidad y Segur Alimentar;Calidad y Seguridad Alimentaria
2014;7;72;722;;Act Admtva sobre Industr;Actuaciones Administrativas sobre Industria
2014;7;72;723;;Apoyo a la PYME;Apoyo a la Pequeña y Mediana Empresa
2014;7;73;731;;Planif y Prod Energ y Min;Planificación y Producción Energética y Minera
2014;7;75;751;;Ordción y Prom Turística;Ordenación y Promoción Turística
2014;9;91;911;;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2014;0;01;011;0111;Amortiz. y gastos Deuda;Amortización y Gastos Financieros de la Deuda
2014;1;11;111;1111;Cortes de Aragón;Cortes de Aragón (Actividad Legislativa)
2014;1;11;111;1112;Actuaciones del Justicia;Actuaciones del Justicia de Aragón
2014;1;11;111;1113;Aljafería;Aljafería
2014;1;11;111;1114;Act. Cámara de Cuentas;Actuaciones de la Cámara de Cuentas de Aragón
2014;1;11;112;1121;Presidencia y Órg Presid;Presidencia y Órganos de la Presidencia
2014;1;11;112;1125;Consejo Cons. Aragón;Consejo Consultivo de Aragón
2014;1;12;121;1211;Serv. G. Presid. y Justic;Servicios Generales de Presidencia y Justicia
2014;1;12;121;1212;Serv.Centr,Edif e Instal.;Servicios Centrales, Edificios e Instalaciones
2014;1;12;121;1213;Serv.Seg y Protec Civil;Servicios de Seguridad y Protección Civil
2014;1;12;121;1214;Ordenación Administrativa;Ordenación Administrativa
2014;1;12;121;1215;Servicios de Interior;Servicios de Interior
2014;1;12;121;1216;Com.Aragonesas Exterior;Comunidades Aragonesas del Exterior
2014;1;12;121;1217;Relac. Institucionales;Relaciones Institucionales
2014;1;12;121;1219;U.Policía Nacional ads.CA;Unidad Policía Nacional adscrita a la C.Autónoma
2014;1;12;122;1221;Direc y Adm Func. Pública;Dirección y Administración de la Función Pública
2014;1;12;123;1231;Selec, Form y Perf Person;Selección, Formación y Perfeccionamiento Personal
2014;1;12;125;1251;Apoyo a la Admón. Local;Apoyo a la Administración Local
2014;1;12;125;1252;Política Territorial;Política Territorial
2014;1;12;125;1253;Estrategias Territoriales;Estrategias Territoriales
2014;1;12;125;1259;Cooperación Policía Local;Cooperación con la Policía Local
