EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;1;12;126;1261;Serv.Coord.Admva.Huesca;Servicios de Coordinación Administrativa en Huesca
2014;1;12;126;1262;Serv.Coord.Admva.Teruel;Servicios de Coordinación Administrativa en Teruel
2014;1;12;126;1263;Servicios Jurídicos;Servicios Jurídicos
2014;1;12;126;1264;Inform.Ciud y Docum Admva;Información Ciudadana y Documentación Admva.
2014;1;12;126;1265;Servicios Telemáticos;Servicios Telemáticos
2014;1;12;126;1266;TV y Radio Autonómicas;Televisión y Radio Autonómicas
2014;1;12;126;1267;Act. Rel.Dllo.Estatutario;Actuaciones Relativas al Desarrollo Estatutario
2014;1;12;126;1268;Inform. Partic. Ciudadana;Información y Participación Ciudadana
2014;1;12;126;1269;Serv.Gen.Pol.Terr. e Int;Serv. Generales de Política Territorial e Interior
2014;1;13;131;1311;Act. Relac. Exteriores;Actuaciones de Relaciones Exteriores
2014;1;13;134;1341;Cooperación al Desarrollo;Cooperación al Desarrollo
2014;1;14;142;1421;Serv. Admon. Justicia;Servicios de Administración de Justicia
2014;3;31;313;3131;Prest. Asist y Serv Soc;Prestaciones Asistenciales y Servicios Sociales
2014;3;31;313;3132;Gestión y Dllo Serv Soc;Gestión y Desarrollo de los Servicios Sociales
2014;3;31;313;3133;Política  Apoyo Familia;Política Integral de Apoyo a la Familia
2014;3;31;313;3134;Atención a la dependencia;Atención a la dependencia
2014;3;31;313;3135;Acc Social a favor person;Acción Social en Favor del Personal
2014;3;31;313;3136;Fondo Inc. Soc.y Ay Fam U;Fondo de Inclusión Social y Ayuda Familiar Urgente
2014;3;31;315;3151;Relaciones Laborales;Relaciones Laborales
2014;3;32;322;3221;Fomento del Empleo. INAEM;Fomento del Empleo. Instituto Aragonés de Empleo
2014;3;32;322;3222;Fomento del Empleo EE.TT.;Fomento del Empleo. Escuelas Taller
2014;3;32;322;3225;Fomento del Empleo;Fomento del Empleo
2014;3;32;322;3229;Consejo Econom y Social;Consejo Económico y Social de Aragón
2014;3;32;323;3231;Promoción de la Juventud;Promoción de la Juventud
2014;3;32;323;3232;Promoción de la Mujer;Promoción de la Mujer
2014;3;32;324;3241;Apoyo a la Inmigración;Apoyo a la Inmigración
2014;4;41;411;4111;Serv. G. San.Bien.Soc. F;Serv. Gener. Sanidad, Bienestar Social y Familia
2014;4;41;412;4121;Asistencia Sanitaria;Asistencia Sanitaria
2014;4;41;412;4123;Asist. Sanit. Medio rural;Asistencia Sanitaria Medio Rural (CASAR)
2014;4;41;412;4124;Prod.comp.sanguín. y tej.;Producc. componentes sanguíneos y de tejidos
2014;4;41;413;4131;Protecc y Promoción Salud;Protección y Promoción de la Salud
2014;4;41;413;4132;Serv. Atención Usuario;Servicios de Atención al Usuario
2014;4;41;413;4134;Salud Pública;Salud Pública
2014;4;42;421;4211;Ser G. Educ,U.,Cult y Dep;Servicios Generales Educación,Univ.,Cultura y Dep.
2014;4;42;421;4212;Gestión de Personal;Gestión de Personal
2014;4;42;422;4221;Educ Infantil y Primaria;Educación Infantil y Primaria
2014;4;42;422;4222;Educ Secundaria y FP;Educación Secundaria y Formación Profesional
2014;4;42;422;4223;Educación Especial;Educación Especial
2014;4;42;422;4224;Enseñanzas Artísticas;Enseñanzas Artísticas
2014;4;42;422;4225;Educación Permanente;Educación Permanente
2014;4;42;422;4226;Plan Aragonés de F.P.;Plan Aragonés de Formación Profesional
2014;4;42;422;4227;Formación del Profesorado;Formación del Profesorado
2014;4;42;422;4228;Educación Universitaria;Educación Universitaria
2014;4;42;422;4229;Eval. Calidad Enseñanza S;Evaluación de la calidad de la Enseñanza Superior
2014;4;42;423;4231;Plan. y Progr. Educativos;Planificación y Programas Educativos
2014;4;43;431;4311;Prom y Admón.Viviendas;Promoción y Administración de Viviendas
2014;4;43;431;4312;Gestión social vivienda;Gestión social de la vivienda
2014;4;43;432;4321;Urbanismo;Urbanismo
2014;4;43;432;4323;Arquitectura y Rehabil.;Arquitectura y Rehabilitación
2014;4;44;442;4422;Protecc y Mejor Medio Amb;Protección y Mejora del Medio Ambiente
2014;4;44;442;4423;Gestión Ambiental;Gestión Ambiental
2014;4;44;443;4431;Control del Consumo;Control del Consumo
2014;4;45;452;4521;Archivos y Museos;Archivos y Museos
2014;4;45;452;4522;Gestión de Bibliotecas;Gestión de Bibliotecas
2014;4;45;455;4553;Prom y Acción Cultural;Promoción y Acción Cultural
2014;4;45;457;4571;Fom y apoyo Activ. Depor;Fomento y apoyo a la Actividad Deportiva
2014;4;45;458;4581;Prot Difusión Patrim Cult;Protección y Difusión del Patrimonio Cultural
2014;4;46;463;4631;Elecc. Institucionales;Elecciones Institucionales
2014;5;51;511;5111;S G OP, Urb., Viv y Ttes.;Serv.G. O.Públicas, Urbanismo, Vivienda y Ttes
2014;5;51;512;5121;Gest e Infr Recur Hidrául;Gestión e Infraestructura de Recursos Hidráulicos
2014;5;51;513;5131;Carreteras;Carreteras
2014;5;51;513;5132;Transportes;Transportes
2014;5;53;531;5311;Mej Estr Agrar y Dllo Rur;Mejora de Estructuras Agrarias y Desarrollo Rural
2014;5;53;531;5312;Des. Sost. Medio Rural;Desarrollo Sostenible en el Medio Rural
2014;5;53;533;5331;Prot y mejora Medio Nat.;Protección y mejora del Medio Natural
2014;5;53;533;5332;Cons. Biodiv. y Des.Sost;Conservac. de la Biodivers y Desarrollo Sostenible
2014;5;54;541;5411;Serv G. Industria e Innov;Serv. Generales Industria e Innovación
2014;5;54;542;5421;Invest Agroalimentaria;Investigación Agroalimentaria
2014;5;54;542;5422;Inv Tecnolog Aplic Indust;Investigación y Tecnología Aplicada a la Industria
2014;5;54;542;5423;Inves, Dllo e Innovac Tec;Investigación, Desarrollo e Innovación Tecnológica
2014;5;54;542;5424;Inves y Dllo Soc Infor;Investigación y Dllo. Sociedad de la Información
2014;5;54;542;5425;Inves. y Des. A. de Salud;Investigación y Desarrollo en el Área de la Salud
2014;5;55;551;5511;Elab y difus Estadística;Elaboración y Difusión Estadística
2014;6;61;611;6111;Serv G. Hda y Admón Públ.;Serv. Gen. de Hacienda y Administración Pública
2014;6;61;611;6112;Serv G. Economía y Empleo;Servicios Generales de Economía y Empleo
2014;6;61;612;6121;Planific.y Direcc Presup;Planificación y Dirección Presupuestaria
2014;6;61;612;6122;Promoción y Dllo Económ.;Promoción y Desarrollo Económico
2014;6;61;612;6123;Plan Minería del Carbón;Plan Minería del Carbón y Dllo Alternat Com.Min
2014;6;61;612;6124;Corp. Empr. Públ. Aragón;Corporación Empresarial Pública de Aragón
2014;6;61;612;6126;Apoyo Dllo Econ y Social;Apoyo al Desarrollo Económico y Social
2014;6;61;612;6127;Gastos no clasificados;Gastos no clasificados
2014;6;61;612;6128;Fondo Gastos Personal;Fondo de Gastos de Personal
2014;6;61;612;6129;Fondo Contingencia;Fondo de Contingencia de Ejecución Presupuestaria
2014;6;61;615;6152;Act Programas Europeos;Actuaciones relativas a Programas Europeos
2014;6;62;622;6221;Ordción y Prom Comercial;Ordenación y Promoción Comercial
2014;6;62;623;6231;Comerc Ext. y Rel.Ec. Int;Comercio Exterior y Relaciones Económicas Inter
2014;6;63;631;6311;Gestión e Inspec Tributos;Gestión e Inspección de Tributos
2014;6;63;631;6312;Control Interno y Contab;Control Interno y Contabilidad
2014;6;63;631;6313;Gestión del Patrimonio;Gestión del Patrimonio
2014;6;63;631;6314;Gestión de Tesorería;Gestión de Tesorería
2014;6;63;631;6315;Estudios Econ y Regulació;Estudios Económicos y Regulación
2014;6;64;641;6411;Jta Cons. Contr.Ad y Reg;Jta Consultiva Contratación Admtva y Registros
2014;6;64;642;6421;Acts. Defensa Competencia;Actuaciones en materia de Defensa de Competencia
2014;7;71;711;7111;S.G. Agr.,Ganad. y M.Amb.;Serv.Gen. Agricultura, Ganadería y Medio Ambiente
2014;7;71;712;7121;Dllo Agroalim y Fmto Asoc;Desarrollo Agroalimentario y Fomento Asociativo
2014;7;71;712;7122;Coord y Gest Serv. Agroam;Coordinación y  Gestión de Servicios Agroambient.
2014;7;71;712;7123;Producc Agr y Gest Ayudas;Producción Agraria y Gestión de Ayudas
2014;7;71;712;7128;Política Agraria Comunita;Política Agraria Comunitaria
2014;7;71;716;7161;Calidad y Segur Alimentar;Calidad y Seguridad Alimentaria
2014;7;72;722;7221;Act Admtva sobre Industr;Actuaciones Administrativas sobre Industria
2014;7;72;723;7231;Fomento Industrial;Fomento Industrial
2014;7;73;731;7311;Fmto y Gestión Energética;Fomento y Gestión Energética
2014;7;73;731;7312;Apoyo a la Minería;Apoyo a la Minería
2014;7;75;751;7511;Ordción y Prom y Fmto Tur;Ordenación, Promoción y Fomento del Turismo
2014;9;91;911;9111;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2014;9;91;911;9112;Cohesión Comarcal;Cohesión Comarcal
