EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;1103;D.G. de Protección de Consumidores y Usuarios;D.G. de Protección de Consumidores y Usuarios
2021;11030;D.G. de Protección de Consumidores y Usuarios;D.G. de Protección de Consumidores y Usuarios
2021;1104;D.G. de Igualdad y Familias;D.G. de Igualdad y Familias
2021;11040;D.G. de Igualdad y Familias;D.G. de Igualdad y Familias
2021;1105;D.G. de Cooperación al Desarrollo e Inmigración;D.G. de Cooperación al Desarrollo e Inmigración
2021;11050;D.G. de Cooperación al Desarrollo e Inmigración;D.G. de Cooperación al Desarrollo e Inmigración
2021;1106;No operativo;No operativo
2021;11060;No operativo;No operativo
2021;1107;No operativo;No operativo
2021;11070;No operativo;No operativo
2021;1111;No operativo;No operativo
2021;11110;No operativo;No operativo
2021;12;Hacienda y Administración Pública;Hacienda y Administración Pública
2021;1200;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Adm. Pública
2021;12000;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Adm. Pública
2021;1201;S.G.T. de Hacienda y Administ. Pública;S.G.T. de Hacienda y Administ. Pública
2021;12010;S.G.T. de Hacienda y Administ. Pública;S.G.T. de Hacienda y Administ. Pública
2021;1202;D.G. Presupuestos, Financiación y Tesorería;D.G. Presupuestos, Financiación y Tesorería
2021;12020;D.G. Presupuestos, Financiación y Tesorería;D.G. Presupuestos, Financiación y Tesorería
2021;1203;D.G. de Contratación;D.G. de Contratación
2021;12030;D.G. de Contratación;D.G. de Contratación
2021;1204;Intervención General;Intervención General
2021;12040;Intervención General;Intervención General
2021;1205;Dirección General de Tributos;Dirección General de Tributos
2021;12050;Dirección General de Tributos;Dirección General de Tributos
2021;1206;D.G. Función Pública y Calidad de los Servicios;D.G. Función Pública y Calidad de los Servicios
2021;12060;D.G. Función Pública y Calidad de los Servicios;D.G. Función Pública y Calidad de los Servicios
2021;1207;D.G. de Patrimonio y Organización;D.G. de Patrimonio y Organización
2021;12070;D.G. de Patrimonio y Organización;D.G. de Patrimonio y Organización
2021;1208;No operativo;No operativo
2021;12080;No operativo;No operativo
2021;1250;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2021;12500;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2021;1251;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2021;12510;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2021;1252;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2021;12520;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2021;1253;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2021;12530;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2021;13;Vertebración del Territorio, Movilidad y Vivienda;Vertebración del Territorio, Movilidad y Vivienda
2021;1300;Ingresos Vertebración Territorio, Movilidad y Viv.;Ingresos Vertebración Territorio, Movilidad y Viv.
2021;13000;Ingresos Vertebración Territorio, Movilidad y Viv.;Ingresos Vertebración Territorio, Movilidad y Viv.
2021;1301;S.G.T. Vertebración Territorio, Movilidad y Viv.;S.G.T. Vertebración Territorio, Movilidad y Viv.
2021;13010;S.G.T. Vertebración Territorio, Movilidad y Viv.;S.G.T. Vertebración Territorio, Movilidad y Viv.
2021;1302;Dirección General de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2021;13020;Dirección General  de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2021;1303;Dirección General  de Urbanismo;Dirección General  de Urbanismo
2021;13030;Dirección General de Urbanismo;Dirección General de Urbanismo
2021;1304;Dirección General  de Carreteras;Dirección General de Carreteras
2021;13040;Dirección General de Carreteras;Dirección General de Carreteras
2021;1305;Dirección General de Vivienda y Rehabilitación;Dirección General  de Vivienda y Rehabilitación
2021;13050;Dirección General de Vivienda y Rehabilitación;Dirección General de Vivienda y Rehabilitación
2021;1306;Dirección General de Transportes;Dirección General de Transportes
2021;13060;Dirección General de Transportes;Dirección General de Transportes
2021;14;Agricultura, Ganadería y Medio Ambiente;Agricultura, Ganadería y Medio Ambiente
2021;1400;Ingresos Agricultura, Ganadería y Medio Ambiente;Ingresos Agricultura, Ganadería y Medio Ambiente
2021;14000;Ingresos Agricultura, Ganadería y Medio Ambiente;Ingresos Agricultura, Ganadería y Medio Ambiente
2021;1401;S.G.T. de Agricultura, Ganadería y Medio Ambiente;S.G.T. de Agricultura, Ganadería y Medio Ambiente
2021;14010;S.G.T. de Agricultura, Ganadería y Medio Ambiente;S.G.T. de Agricultura, Ganadería y Medio Ambiente
2021;14011;DRyS-Sevicio Provincial de Huesca;DRyS-Sevicio Provincial de Huesca
2021;14012;DRyS-Sevicio Provincial de Teruel;DRyS-Sevicio Provincial de Teruel
2021;14013;DRyS-Sevicio Provincial de Zaragoza;DRyS-Sevicio Provincial de Zaragoza
2021;1402;Dirección General de Producción Agraria;Dirección General de Producción Agraria
2021;14020;Dirección General de Producción Agraria;Dirección General de Producción Agraria
2021;1403;D.G. de Calidad y Seguridad Alimentaria;D.G. de Calidad y Seguridad Alimentaria
2021;14030;D.G. de Calidad y Seguridad Alimentaria;D.G. de Calidad y Seguridad Alimentaria
2021;1404;D.G. de Cambio Climático y Educación Ambiental;D.G. de Cambio Climático y Educación Ambiental
2021;14040;D.G. de Cambio Climático y Educación Ambiental;D.G. de Cambio Climático y Educación Ambiental
2021;1405;D.G. de Desarrollo Rural;D.G. de Desarrollo Rural
2021;14050;D.G. de Desarrollo Rural;D.G. de Desarrollo Rural
2021;1406;D.G. de Medio Natural y Gestión Forestal;D.G. de Medio Natural y Gestión Forestal
2021;14060;D.G. de Medio Natural y Gestión Forestal;D.G. de Medio Natural y Gestión Forestal
2021;1407;D. G. de Innovación y Promoción Agroalimentaria;D. G. de Innovación y Promoción Agroalimentaria
2021;14070;D. G. de Innovación y Promoción Agroalimentaria;D. G. de Innovación y Promoción Agroalimentaria
2021;15;Economía, Planificación y Empleo;Economía, Planificación y Empleo
2021;1500;Ingresos de Economía, Planificación y Empleo;Ingresos de Economía, Planificación y Empleo
2021;15000;Ingresos de Economía, Planificación y Empleo;Ingresos de Economía, Planificación y Empleo
2021;1501;S.G.T. de Economía, Planificación y Empleo;S.G.T. de Economía, Planificación y Empleo
2021;15010;S.G.T. de Economía, Planificación y Empleo;S.G.T. de Economía, Planificación y Empleo
2021;1502;D.G. de Economía;D.G. de Economía
2021;15020;D.G. de Economía;D.G. de Economía
2021;1503;D.G. de Trabajo, Autónomos y Economía Social;D.G. de Trabajo, Autónomos y Economía Social
2021;15030;D.G. de Trabajo, Autónomos y Economía Social;D.G. de Trabajo, Autónomos y Economía Social
2021;1504;D.G. de Planificación y Desarrollo Económico;D.G. de Planificación y Desarrollo Económico
2021;15040;D.G. de Planificación y Desarrollo Económico;D.G. de Planificación y Desarrollo Económico
2021;1505;No operativa;No operativa
2021;15050;No operativa;No operativa
2021;1506;No operativa;No operativa
2021;15060;No operativa;No operativa
2021;1507;No operativa;No operativa
2021;15070;No operativa;No operativa
2021;16;Sanidad;Sanidad
2021;1600;Ingresos Sanidad;Ingresos Sanidad
2021;16000;Ingresos Sanidad;Ingresos Sanidad
2021;1601;S.G.T. de Sanidad;S.G.T. de Sanidad
2021;16010;S.G.T. de Sanidad;S.G.T. de Sanidad
2021;1602;D.G. de Asistencia Sanitaria;D.G. de Asistencia Sanitaria
2021;16020;D.G. de Asistencia Sanitaria;D.G. de Asistencia Sanitaria
2021;1603;D.G. de Derechos y Garantías de los Usuarios;D.G. de Derechos y Garantías de los Usuarios
2021;16030;D.G. de Derechos y Garantías de los Usuarios;D.G. de Derechos y Garantías de los Usuarios
2021;1604;D.G. de Salud Pública;D.G. de Salud Pública
2021;16040;D.G. de Salud Pública;D.G. de Salud Pública
2021;1605;No operativa;No operativa
2021;16050;No operativa;No operativa
2021;1606;No operativa;No operativa
2021;16060;No operativa;No operativa
2021;1607;No operativa;No operativa
2021;16070;No operativa;No operativa
2021;16220;Sanidad-Sevicio Provincial de Huesca;Sanidad-Sevicio Provincial de Huesca
2021;16440;Sanidad-Sevicio Provincial de Teruel;Sanidad-Sevicio Provincial de Teruel
2021;16500;Sanidad-Sevicio Provincial de Zaragoza;Sanidad-Sevicio Provincial de Zaragoza
2021;17;Ciencia, Universidad y Sociedad del Conocimiento;Ciencia, Universidad y Sociedad del Conocimiento
2021;1700;Ingresos de Ciencia, Universidad y Sociedad del Co;Ingresos de Ciencia, Universidad y Sociedad del Co
2021;17000;Ingresos de Ciencia, Universidad y Sociedad del Co;Ingresos de Ciencia, Universidad y Sociedad del Co
2021;1701;SGT de Ciencia, Universidad y Sociedad del Conocim;SGT de Ciencia, Universidad y Sociedad del Conocim
2021;17010;SGT de Ciencia, Universidad y Sociedad del Conocim;SGT de Ciencia, Universidad y Sociedad del Conocim
2021;1702;D.G. de Universidades;D.G. de Universidades
2021;17020;D.G. de Universidades;D.G. de Universidades
2021;1703;D.G. Investigación e Innovación;D.G. de Investigación e Innovación
2021;17030;D.G. Investigación e Innovación;D.G. de Investigación e Innovación
2021;1704;D.G. de Admón Electrónica y Sdad de la Información;D.G. de Admón Electrónica y Sdad de la Información
2021;17040;D.G. de Admón Electrónica y Sdad de la Información;D.G. de Admón Electrónica y Sdad de la Información
2021;1705;No operativa;No operativa
2021;17050;No operativa;No operativa
2021;1706;No operativa;No operativa
2021;17060;No operativa;No operativa
2021;18;Educación, Cultura y Deporte;Educación, Cultura y Deporte
2021;1800;Ingresos Educación, Cultura y Deporte;Ingresos Educación, Cultura y Deporte
2021;18000;Ingresos Educación, Cultura y Deporte;Ingresos Educación, Cultura y Deporte
2021;1801;S.G.T. de Educación, Cultura y Deporte;S.G.T. de Educación, Cultura y Deporte
2021;18010;S.G.T. de Educación, Cultura y Deporte;S.G.T. de Educación, Cultura y Deporte
2021;1802;D.G. de Política Lingüística;D.G. de Política Lingüística
2021;18020;D.G. de Política Lingüística;D.G. de Política Lingüística
2021;1803;D.G. de Planificación y Equidad;D.G. de Planificación y Equidad
2021;18030;D.G. de Planificación y Equidad;D.G. de Planificación y Equidad
2021;1804;D.G. de Personal;D.G. de Personal
2021;18040;D.G. de Personal;D.G. de Personal
2021;1805;D.G. de Innovación y Formación Profesional;D.G. de Innovación y Formación Profesional
2021;18050;D.G. de Innovación y Formación Profesional;D.G. de Innovación y Formación Profesional
2021;1806;D.G. de Cultura;D.G. de Cultura
2021;18060;D.G. de Cultura;D.G. de Cultura
2021;1807;D.G. de Patrimonio Cultural;D.G. de Patrimonio Cultural
2021;18070;D.G. de Patrimonio Cultural;D.G. de Patrimonio Cultural
2021;1808;D.G. de Deporte;D.G. de Deporte
2021;18080;D.G. de Deporte;D.G. de Deporte
2021;19;Industria, Competitividad y Desarrollo Empresarial;Industria, Competitividad y Desarrollo Empresarial
2021;1900;Ingresos de Industria, Competitividad y Des. Empre;Ingresos de Industria, Competitividad y Des. Empre
2021;19000;Ingresos de Industria, Competitividad y Des. Empre;Ingresos de Industria, Competitividad y Des. Empre
2021;1901;SGT de Industria, Competitividad y Desarrollo Empr;SGT de Industria, Competitividad y Desarrollo Empr
2021;19010;SGT de Industria, Competitividad y Desarrollo Empr;SGT de Industria, Competitividad y Desarrollo Empr
2021;1902;Dirección General de Industria y PYMES;Dirección General de Industria y PYMES
2021;19020;Dirección General de Industria y PYMES;Dirección General de Industria y PYMES
2021;1903;Dirección General de Comercio, Ferias y Artesanía;Dirección General de Comercio, Ferias y Artesanía
2021;19030;Dirección General de Comercio, Ferias y Artesanía;Dirección General de Comercio, Ferias y Artesanía
2021;1904;Dirección General de Energía y Minas;Dirección General de Energía y Minas
2021;19040;Dirección General de Energía y Minas;Dirección General de Energía y Minas
2021;1905;Dirección General de Turismo;Dirección General de Turismo
2021;19050;Dirección General de Turismo;Dirección General de Turismo
2021;20;No operativa;No operativa
2021;2000;No operativa;No operativa
2021;20000;No operativa;No operativa
2021;2001;No operativa;No operativa
2021;20010;No operativa;No operativa
2021;20011;No operativa;No operativa
2021;20012;No operativa;No operativa
2021;2002;No operativa;No operativa
2021;20020;No operativa;No operativa
2021;2003;No operativa;No operativa
2021;20030;No operativa;No operativa
2021;2004;No operativa;No operativa
2021;20040;No operativa;No operativa
2021;2010;No operativa;No operativa
2021;20100;No operativa;No operativa
2021;2012;No operativa;No operativa
2021;20120;No operativa;No operativa
2021;26;A las Administraciones Comarcales;A las Administraciones Comarcales
2021;2600;Ingresos de A las Adm. Comarcales;Ingresos de A las Adm. Comarcales
2021;26000;Ingresos de A las Adm. Comarcales;Ingresos de A las Adm. Comarcales
2021;2601;Comarca de la Jacetania;Comarca de la Jacetania
2021;26010;Comarca de la Jacetania;Comarca de la Jacetania
2021;2602;Comarca del Alto Gállego;Comarca del Alto Gállego
2021;26020;Comarca del Alto Gállego;Comarca del Alto Gállego
2021;2603;Comarca de Sobrarbe;Comarca de Sobrarbe
2021;26030;Comarca de Sobrarbe;Comarca de Sobrarbe
2021;2604;Comarca de la Ribagorza;Comarca de la Ribagorza
2021;26040;Comarca de la Ribagorza;Comarca de la Ribagorza
2021;2605;Comarca de Cinco Villas;Comarca de Cinco Villas
2021;26050;Comarca de Cinco Villas;Comarca de Cinco Villas
2021;2606;Comarca Hoya de Huesca/ Plana de Uesca;Comarca Hoya de Huesca/ Plana de Uesca
2021;26060;Comarca Hoya de Huesca/ Plana de Uesca;Comarca Hoya de Huesca/ Plana de Uesca
2021;2607;Comarca de Somontano de Barbastro;Comarca de Somontano de Barbastro
2021;26070;Comarca de Somontano de Barbastro;Comarca de Somontano de Barbastro
2021;2608;Comarca de Cinca Medio;Comarca de Cinca Medio
2021;26080;Comarca de Cinca Medio;Comarca de Cinca Medio
2021;2609;Comarca de la Litera/ La Llitera;Comarca de la Litera/ La Llitera
2021;26090;Comarca de la Litera/ La Llitera;Comarca de la Litera/ La Llitera
2021;2610;Comarca de los Monegros;Comarca de los Monegros
2021;26100;Comarca de los Monegros;Comarca de los Monegros
2021;2611;Comarca del Bajo Cinca/ Baix Cinca;Comarca del Bajo Cinca/ Baix Cinca
2021;26110;Comarca del Bajo Cinca/ Baix Cinca;Comarca del Bajo Cinca/ Baix Cinca
2021;2612;Comarca de Tarazona y el Moncayo;Comarca de Tarazona y el Moncayo
2021;26120;Comarca de Tarazona y el Moncayo;Comarca de Tarazona y el Moncayo
2021;2613;Comarca de Campo de Borja;Comarca de Campo de Borja
2021;26130;Comarca de Campo de Borja;Comarca de Campo de Borja
2021;2614;Comarca del Aranda;Comarca del Aranda
2021;26140;Comarca del Aranda;Comarca del Aranda
2021;2615;Comarca de la Ribera Alta del Ebro;Comarca de la Ribera Alta del Ebro
2021;26150;Comarca de la Ribera Alta del Ebro;Comarca de la Ribera Alta del Ebro
2021;2616;Comarca de Valdejalón;Comarca de Valdejalón
2021;26160;Comarca de Valdejalón;Comarca de Valdejalón
2021;2617;Comarca Central;Comarca Central
2021;26170;Comarca Central;Comarca Central
2021;2618;Comarca de la Ribera Baja del Ebro;Comarca de la Ribera Baja del Ebro
2021;26180;Comarca de la Ribera Baja del Ebro;Comarca de la Ribera Baja del Ebro
2021;2619;Comarca Bajo Aragón-Caspe;Comarca Bajo Aragón-Caspe
2021;26190;Comarca Bajo Aragón-Caspe;Comarca Bajo Aragón-Caspe
2021;2620;Comarca de la Comunidad de Calatayud;Comarca de la Comunidad de Calatayud
2021;26200;Comarca de la Comunidad de Calatayud;Comarca de la Comunidad de Calatayud
2021;2621;Comarca de Campo de Cariñena;Comarca de Campo de Cariñena
2021;26210;Comarca de Campo de Cariñena;Comarca de Campo de Cariñena
2021;2622;Comarca de Campo de Belchite;Comarca de Campo de Belchite
2021;26220;Comarca de Campo de Belchite;Comarca de Campo de Belchite
2021;2623;Comarca del Bajo Martín;Comarca del Bajo Martín
2021;26230;Comarca del Bajo Martín;Comarca del Bajo Martín
2021;2624;Comarca de Campo de Daroca;Comarca de Campo de Daroca
2021;26240;Comarca de Campo de Daroca;Comarca de Campo de Daroca
2021;2625;Comarca del Jiloca;Comarca del Jiloca
2021;26250;Comarca del Jiloca;Comarca del Jiloca
2021;2626;Comarca de Cuencas Mineras;Comarca de Cuencas Mineras
2021;26260;Comarca de Cuencas Mineras;Comarca de Cuencas Mineras
2021;2627;Comarca de Andorra- Sierra de Arcos;Comarca de Andorra- Sierra de Arcos
2021;26270;Comarca de Andorra- Sierra de Arcos;Comarca de Andorra- Sierra de Arcos
2021;2628;Comarca del Bajo Aragón;Comarca del Bajo Aragón
2021;26280;Comarca del Bajo Aragón;Comarca del Bajo Aragón
2021;2629;Comarca de la Comunidad de Teruel;Comarca de la Comunidad de Teruel
2021;26290;Comarca de la Comunidad de Teruel;Comarca de la Comunidad de Teruel
2021;2630;Comarca de Maestrazgo;Comarca de Maestrazgo
2021;26300;Comarca de Maestrazgo;Comarca de Maestrazgo
2021;2631;Comarca de la Sierra de Albarracín;Comarca de la Sierra de Albarracín
2021;26310;Comarca de la Sierra de Albarracín;Comarca de la Sierra de Albarracín
2021;2632;Comarca de Gúdar- Javalambre;Comarca de Gúdar- Javalambre
2021;26320;Comarca de Gúdar- Javalambre;Comarca de Gúdar- Javalambre
2021;2633;Comarca del Matarraña/ Matarranya;Comarca del Matarraña/ Matarranya
2021;26330;Comarca del Matarraña/ Matarranya;Comarca del Matarraña/ Matarranya
2021;2634;Servicios Administraciones Comarcales;Servicios Administraciones Comarcales
2021;26340;Servicios Administraciones Comarcales;Servicios Administraciones Comarcales
2021;30;Diversos Departamentos;Diversos Departamentos
2021;3000;Ingresos de Diversos Departamentos;Ingresos de Diversos Departamentos
2021;30000;Ingresos de Diversos Departamentos;Ingresos de Diversos Departamentos
2021;3001;Fondo Contingencia Ejecución Presupuest.;Fondo Contingencia Ejecución Presupuest.
2021;30010;Fondo Contingencia Ejecución Presupuest.;Fondo Contingencia Ejecución Presupuest.
2021;3002;Fondo de Gastos de Personal;Fondo de Gastos de Personal
2021;30020;Fondo de Gastos de Personal;Fondo de Gastos de Personal
2021;3003;Deuda Pública;Deuda Pública
2021;30030;Deuda Pública;Deuda Pública
2021;3004;Empresas Públicas y participadas;Empresas Públicas y participadas
2021;30040;Empresas Públicas y participadas;Empresas Públicas y participadas
2021;3005;Promoción y Desarrollo Industrial;Promoción y Desarrollo Industrial
2021;30050;Promoción y Desarrollo Industrial;Promoción y Desarrollo Industrial
2021;3006;Fondo Inclusión Social y Ay. Familiar Ur;Fondo Inclusión Social y Ay. Familiar Ur
2021;30060;Fondo Inclusión Social y Ay. Familiar Ur;Fondo Inclusión Social y Ay. Familiar Ur
2021;3007;Relaciones Laborales;Relaciones Laborales
2021;30070;Relaciones Laborales;Relaciones Laborales
2021;3008;No operativa;No operativa
2021;30080;No operativa;No operativa
2021;3011;REACT-UE;REACT-UE
2021;30110;REACT-UE;REACT-UE
2021;3013;No operativa;No operativa
2021;30130;No operativa;No operativa
2021;51;Instituto Aragonés de Empleo;Instituto Aragonés de Empleo
2021;5100;Ingresos del Inst. Aragonés de Empleo;Ingresos del Inst. Aragonés de Empleo
2021;51000;Ingresos del Inst. Aragonés de Empleo;Ingresos del Inst. Aragonés de Empleo
2021;5101;Instituto Aragonés de Empleo;Instituto Aragonés de Empleo
2021;51010;Instituto Aragonés de Empleo;Instituto Aragonés de Empleo
2021;51011;INAEM - Servicio Provincial de Huesca;INAEM - Servicio Provincial de Huesca
2021;51012;INAEM - Servicio Provincial de Teruel;INAEM - Servicio Provincial de Teruel
2021;51013;INAEM - Servicio Provincial de Zaragoza;INAEM - Servicio Provincial de Zaragoza
2021;51014;INAEM - Servicio de Formación;INAEM - Servicio de Formación
2021;51015;INAEM - Servicio de Intermediación;INAEM - Servicio de Intermediación
2021;51016;INAEM - Servicio de Promoción de Empleo;INAEM - Servicio de Promoción de Empleo
2021;52;Servicio Aragonés de Salud;Servicio Aragonés de Salud
2021;52AL;Gerencia Sector Alcañiz;Gerencia Sector Alcañiz
2021;52AL1;Gerencia Sector Alcañiz;Gerencia Sector Alcañiz
2021;52AL2;Hospital de  Alcañiz;Hospital de  Alcañiz
2021;52AL3;Atención Primaria Sector Alcañiz;Atención Primaria Sector Alcañiz
2021;52BA;Gerencia Sector Barbastro;Gerencia Sector Barbastro
2021;52BA1;Gerencia Sector Barbastro;Gerencia Sector Barbastro
2021;52BA2;Hospital Barbastro;Hospital Barbastro
2021;52BA3;Centro Sociosanitario de Fraga;Centro Sociosanitario de Fraga
2021;52BA4;Atención Primaria Sector Barbastro;Atención Primaria Sector Barbastro
2021;52CA;Gerencia Sector Calatayud;Gerencia Sector Calatayud
2021;52CA1;Gerencia Sector Calatayud;Gerencia Sector Calatayud
2021;52CA2;Hospital Ernest Lluch Martin;Hospital Ernest Lluch Martin
2021;52CA3;Atención Primaria Sector Calatayud;Atención Primaria Sector Calatayud
2021;52HU;Gerencia Sector Huesca;Gerencia Sector Huesca
2021;52HU1;Gerencia Sector Huesca;Gerencia Sector Huesca
2021;52HU2;Hospital San Jorge de Huesca;Hospital San Jorge de Huesca
2021;52HU3;Hospital Sagrado Corazón de Jesús;Hospital Sagrado Corazón de Jesús
2021;52HU4;C.R.P. Santo Cristo de los Milagros;C.R.P. Santo Cristo de los Milagros
2021;52HU5;Atención Primaria Sector Huesca;Atención Primaria Sector Huesca
2021;52TE;Gerencia Sector Teruel;Gerencia Sector Teruel
2021;52TE1;Gerencia Sector Teruel;Gerencia Sector Teruel
2021;52TE2;Hospital Obispo Polanco Teruel;Hospital Obispo Polanco Teruel
2021;52TE3;Hospital San José;Hospital San José
2021;52TE4;C.R.P. San Juan de Dios;C.R.P. San Juan de Dios
2021;52TE5;Atención Primaria Sector Teruel;Atención Primaria Sector Teruel
2021;52Z1;Gerencia Sector Zaragoza I;Gerencia Sector Zaragoza I
2021;52Z11;Gerencia Sector Zaragoza I;Gerencia Sector Zaragoza I
2021;52Z12;Hospital Royo Villanova;Hospital Royo Villanova
2021;52Z13;Hospital Nuestra Señora de Gracia;Hospital Nuestra Señora de Gracia
2021;52Z14;Atención Primaria Sector Zaragoza I;Atención Primaria Sector Zaragoza I
2021;52Z2;Gerencia Sector Zaragoza II;Gerencia Sector Zaragoza II
2021;52Z21;Gerencia Sector Zaragoza II;Gerencia Sector Zaragoza II
2021;52Z22;Hospital Universitario Miguel Servet;Hospital Universitario Miguel Servet
