EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;ADGA;ADGA;ADGA
2021;01;Cortes de Aragón;Cortes de Aragón
2021;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2021;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2021;0101;Cortes de Aragón;Cortes de Aragón
2021;01010;Cortes de Aragón;Cortes de Aragón
2021;0102;El Justicia de Aragón;El Justicia de Aragón
2021;01020;El Justicia de Aragón;El Justicia de Aragón
2021;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2021;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2021;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2021;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de Presidencia Gobierno Aragón
2021;02000;Ingresos de Presidencia del Gobierno;Ingresos de Presidencia del Gobierno
2021;0201;Secretaría General de la Presidencia;Secretaría General de la Presidencia
2021;02010;Secretaría General de la Presidencia;Secretaría General de la Presidencia
2021;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2021;0300;Ingresos Consejo Consultivo de Aragón;Ingresos Consejo Consultivo de Aragón
2021;03000;Ingresos Consejo Consultivo de Aragón;Ingresos Consejo Consultivo de Aragón
2021;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2021;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2021;04;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2021;0400;Ingr.Tribunal Admtvo. de Contr. Públicos de Aragón;Ingr.Tribunal Admtvo. de Contr. Públicos de Aragón
2021;04000;Ingr. Tribunal Admtvo. de Cont. Públicos de Aragón;Ingr. Tribunal Admtvo. de Cont. Públicos de Aragón
2021;0401;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2021;04010;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2021;0402;No operativo;No operativo
2021;04020;No operativo;No operativo
2021;05;Vicepresidencia del Gobierno;Vicepresidencia del Gobierno
2021;0500;Ingresos Vicepresidencia del Gobierno;Ingresos Vicepresidencia del Gobierno
2021;05000;Ingresos Vicepresidencia del Gobierno;Ingresos Vicepresidencia del Gobierno
2021;0502;D. G. Desarrollo Estatutario y Programas Europeos;D. G. Desarrollo Estatutario y Programas Europeos
2021;05020;D. G. Desarrollo Estatutario y Programas Europeos;D. G. Desarrollo Estatutario y Programas Europeos
2021;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2021;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos Consejo Ec. y Social de Aragón
2021;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos Consejo Ec. y Social de Aragón
2021;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2021;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2021;10;Presidencia y Relaciones Institucionales;Presidencia y Relaciones Institucionales
2021;1000;Ingresos de Presidencia y Relaciones Institucional;Ingresos de Presidencia y Relaciones Institucional
2021;10000;Ingresos de Presidencia y Relaciones Institucional;Ingresos de Presidencia y Relaciones Institucional
2021;1001;S.G.T. de Presidencia y Rel. Institucionales;S.G.T. de Presidencia y Rel. Institucionales
2021;10010;S.G.T. de Presidencia y Rel. Institucionales;S.G.T. de Presidencia y Rel. Institucionales
2021;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2021;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2021;1003;Dirección General  de Administración Local;Dirección General  de Administración Local
2021;10030;Dirección General  de Administración Local;Dirección General  de Administración Local
2021;1004;Dirección General  Relaciones Institucionales;Dirección General  Relaciones Institucionales
2021;10040;Dirección General Relaciones Institucionales;Dirección General Relaciones Institucionales
2021;1005;Dirección General de Justicia;Dirección General de Justicia
2021;10050;Dirección General de Justicia;Dirección General de Justicia
2021;1006;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2021;10060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2021;1007;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2021;10070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2021;1008;Dirección General de Interior y Protección Civil;Dirección General de Interior y Protección Civil
2021;10080;Dirección General  de Interior y Protección Civil;Dirección General de Interior y Protección Civil
2021;11;Ciudadanía y Derechos Sociales;Ciudadanía y Derechos Sociales
2021;1100;Ingresos Ciudadanía y Derechos Sociales;Ingresos Ciudadanía y Derechos Sociales
2021;11000;Ingresos Ciudadanía y Derechos Sociales;Ingresos Ciudadanía y Derechos Sociales
2021;1101;S.G.T. de Ciudadanía y Derechos Sociales;S.G.T. de Ciudadanía y Derechos Sociales
2021;11010;S.G.T. de Ciudadanía y Derechos Sociales;S.G.T. de Ciudadanía y Derechos Sociales
2021;1102;D.G. de Gobierno Abierto e Innovación Social.;D.G. de Gobierno Abierto e Innovación Social.
2021;11020;D.G. de Gobierno Abierto e Innovación Social.;D.G. de Gobierno Abierto e Innovación Social.
