EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;1;12;126;1266;Televisión y Radio Autonómicas;Televisión y Radio Autonómicas
2021;1;12;126;1267;Actuaciones Relativas al Desarrollo Estatutario;Actuaciones Relativas al Desarrollo Estatutario
2021;1;12;126;1268;Inform. Partic. Ciudadana;Información y Participación Ciudadana
2021;1;12;126;1269;Serv.Gen.Pol.Terr. e Int(No operativo);Serv.Grales P. Territorial e Interior (No operativ
2021;1;13;;;Rel. Ext. y Coop. Intern.;Relaciones Exteriores y Cooperación Internacional
2021;1;13;131;;Rel. Exteriores;Relaciones Exteriores
2021;1;13;131;1311;Act. Relac. Exteriores;Actuaciones de Relaciones Exteriores
2021;1;13;134;;Cooperación Internacional;Cooperación Internacional
2021;1;13;134;1341;Cooperación al Desarrollo;Cooperación al Desarrollo
2021;1;14;;;Justicia;Justicia
2021;1;14;142;;Administración Justicia;Administración de Justicia
2021;1;14;142;1421;Serv. Admon. Justicia;Servicios de Administración de Justicia
2021;1;14;142;1422;Ministerio Fiscal;Ministerio Fiscal
2021;3;;;;Seg Protecc y Prom Social;Seguridad, Protección y Promoción Social
2021;3;31;;;Seg. y Protección Social;Seguridad y Protección Social
2021;3;31;311;;Admón y Promoción Social;Admón y Promoción Social
2021;3;31;311;3111;Serv. Grales. Cuidadanía y Derechos Sociales;Serv. Grales. Ciudadanía y Derechos Sociales
2021;3;31;313;;Acción Social;Acción Social
2021;3;31;313;3131;Prest. Asistenciales y Serv. Sociales (No operativ;Prest. Asistenciales y Serv. Sociales (No operativ
2021;3;31;313;3132;Gestión y Dllo Serv Soc;Gestión y Desarrollo de los Servicios Sociales
2021;3;31;313;3133;Polít Integral de Apoyo a las Familias y de Iguald;Polít Integral de Apoyo a las Familias y de Iguald
2021;3;31;313;3134;Atención a la dependencia (No operativo);Atención a la dependencia (No operativo)
2021;3;31;313;3135;Acción Social a favor del personal;Acción Social en Favor del Personal
2021;3;31;313;3136;Fondo Inc. Soc.y Ay Fam U;Fondo de Inclusión Social y Ayuda Familiar Urgente
2021;3;31;315;;Relaciones Laborales;Relaciones Laborales
2021;3;31;315;3151;Relaciones Laborales;Relaciones Laborales
2021;3;32;;;Promoción Social;Promoción Social
2021;3;32;322;;Promoción del Empleo;Promoción del Empleo
2021;3;32;322;3221;Fomento del Empleo. INAEM;Fomento del Empleo. Instituto Aragonés de Empleo
2021;3;32;322;3222;Fomento del Empleo EE.TT. (No operativo);Fomento del Empleo EE.TT. (No operativo)
2021;3;32;322;3225;Fomento del Empleo;Fomento del Empleo
2021;3;32;322;3229;Consejo Econom y Social;Consejo Económico y Social de Aragón
2021;3;32;323;;Promoción Sociocultural;Promoción Sociocultural
2021;3;32;323;3231;Promoción de la Juventud;Promoción de la Juventud
2021;3;32;323;3232;Promoción de la Mujer;Promoción de la Mujer
2021;3;32;324;;Acción favor Inmigrantes;Acción en favor de los Inmigrantes
2021;3;32;324;3241;Apoyo a la Inmigración;Apoyo a la Inmigración
2021;4;;;;Prod.Bienes Púb. c.social;Producción de Bienes Públicos de Carácter Social
2021;4;41;;;Sanidad;Sanidad
2021;4;41;411;;Admón General Sanidad;Administración General de Sanidad
2021;4;41;411;4111;Serv. Gener. Sanidad;Serv. Gener. Sanidad
2021;4;41;412;;Hosp,Svcios, Asist y Cent;Hospitales, Svcios, Asistencias y Centros de Salud
2021;4;41;412;4121;Asistencia Sanitaria;Asistencia Sanitaria
2021;4;41;412;4123;Asist. Sanit. Medio Rural (No operativo);Asistencia Sanitaria Medio Rural (CASAR) (No opera
2021;4;41;412;4124;Prod.comp.sanguín. y tej.;Producc. componentes sanguíneos y de tejidos
2021;4;41;413;;Acciones Públicas Salud;Acciones Públicas relativas a la Salud
2021;4;41;413;4131;Protecc y Promoción Salud;Protección y Promoción de la Salud
2021;4;41;413;4132;Serv. Atención Usuario;Servicios de Atención al Usuario
2021;4;41;413;4134;Salud Pública;Salud Pública
2021;4;42;;;Educación;Educación
2021;4;42;421;;Admón General Educación;Administración General de Educación
2021;4;42;421;4211;Serv. Gen. Educación, Cultura y Deporte;Servicios Generales Educación, Cultura y Deporte
2021;4;42;421;4212;Gestión de Personal;Gestión de Personal
2021;4;42;422;;Enseñanza;Enseñanza
2021;4;42;422;4220;Formación Profesional;Formación Profesional
2021;4;42;422;4221;Educ Infantil y Primaria;Educación Infantil y Primaria
2021;4;42;422;4222;Educ Secundaria;Educ Secundaria
2021;4;42;422;4223;Educación Especial;Educación Especial
2021;4;42;422;4224;Enseñanzas Artísticas;Enseñanzas Artísticas
2021;4;42;422;4225;Educación Permanente;Educación Permanente
2021;4;42;422;4226;Plan Aragonés de F.P.;Plan Aragonés de Formación Profesional
2021;4;42;422;4227;Formación del Profesorado;Formación del Profesorado
2021;4;42;422;4228;Educación Universitaria;Educación Universitaria
2021;4;42;422;4229;Eval. Calidad Enseñanza S;Evaluación de la calidad de la Enseñanza Superior
2021;4;42;423;;Becas y Ayudas;Becas y Ayudas
2021;4;42;423;4231;Innovación y Participación;Innovación y Participación
2021;4;42;423;4232;Equidad;Equidad
2021;4;43;;;Vivienda y Urbanismo;Vivienda y Urbanismo
2021;4;43;431;;Vivienda;Vivienda
2021;4;43;431;4311;Promoción y Admón.Viviendas;Promoción y Administración de Viviendas
2021;4;43;431;4312;Gestión Social de la Vivienda;Gestión social de la vivienda
2021;4;43;432;;Urbanismo y Arquitectura;Urbanismo y Arquitectura
2021;4;43;432;4321;Urbanismo;Urbanismo
2021;4;43;432;4323;Arquitectura y Rehabilitación;Arquitectura y Rehabilitación
2021;4;44;;;Bienestar Comunitario;Bienestar Comunitario
2021;4;44;442;;Protecc y Medio Ambiente;Protección y Medio Ambiente
2021;4;44;442;4422;Protecc y Mejor Medio Amb;Protección y Mejora del Medio Ambiente
2021;4;44;442;4423;Gestión Ambiental;Gestión Ambiental
2021;4;44;443;;Otros Srvcios Bstar Com.;Otros servicios de Bienestar Comunitario
2021;4;44;443;4431;Control del Consumo;Control del Consumo
2021;4;45;;;Cultura;Cultura
2021;4;45;452;;Archivos,Bibliot y Museos;Archivos, Bibliotecas y Museos
2021;4;45;452;4521;Archivos, Museos y Bibliotecas;Archivos, Museos y Bibliotecas
2021;4;45;452;4522;Gestión de Bibliotecas (No operativo);Gestión de Bibliotecas (No operativo)
2021;4;45;455;;Promoción Cultural;Promoción Cultural
2021;4;45;455;4551;Fom y prom lenguas propias;Fomento y promoción de las lenguas propias
2021;4;45;455;4553;Prom y Acción Cultural (No operativo);Promoción y Acción Cultural (No operativo)
2021;4;45;457;;Deportes y Educ Física;Deportes y Educación Física
2021;4;45;457;4571;Fom y apoyo Activ. Depor;Fomento y apoyo a la Actividad Deportiva
2021;4;45;458;;Patr. Hist-Artíst y Arqu.;Patrimonio Histórico-Artístico y Arqueológico
2021;4;45;458;4581;Promoción de la Cultura;Promoción de la Cultura
2021;4;45;458;4582;Protección del Patrimonio Cultural;Protección del Patrimonio Cultural
2021;4;46;;;Otros Srvcios Com. y Soc.;Otros Servicios Comunitarios y Sociales
2021;4;46;463;;Asoc y Partic. Ciudadana;Asociación y Participación Ciudadana
2021;4;46;463;4631;Elecc. Institucionales;Elecciones Institucionales
2021;5;;;;Prod.Bien P carac.econom.;Producc. de Bienes Públicos de Carácter Económico
2021;5;51;;;Infraestructuras Básicas;Infraestructuras Básicas y del Transporte
2021;5;51;511;;Admón G. Infr. Básic.Tte;Administración General de Infr. Básicas y del Tte
2021;5;51;511;5111;S G Vert. Territorrio, Movilidad y Vivienda;Serv.G. Verteb. Territorrio, Movilidad y Vivienda
2021;5;51;512;;Recursos Hidráulicos;Recursos Hidráulicos
2021;5;51;512;5121;Gest e Infr Recur Hidrául;Gestión e Infraestructura de Recursos Hidráulicos
2021;5;51;513;;Transporte Terrestre;Transporte Terrestre
2021;5;51;513;5131;Carreteras;Carreteras
2021;5;51;513;5132;Transportes;Transportes
2021;5;53;;;Infraestructuras Agrarias;Infraestructuras Agrarias
2021;5;53;531;;Reforma y Dllo Agrario;Reforma y Desarrollo Agrario
2021;5;53;531;5311;Mej Estr Agrar y Dllo Rur;Mejora de Estructuras Agrarias y Desarrollo Rural
2021;5;53;531;5312;Des. Sost. Medio Rural;Desarrollo Sostenible en el Medio Rural
2021;5;53;533;;Mejora del Medio Natural;Mejora del Medio Natural
2021;5;53;533;5331;Prot y mejora Medio Nat.;Protección y mejora del Medio Natural
2021;5;53;533;5332;Cons. Biodiv. y Des.Sost;Conservac. de la Biodivers y Desarrollo Sostenible
2021;5;54;;;Invest Cient, Téc y Aplic;Investigación Científica, Técnica y Aplicada
2021;5;54;541;;Ad G. Ciencia, Universidad y Sdad. del Conocimi;Adm. Gen. Ciencia, Universidad y Sdad. del Conocim
2021;5;54;541;5411;Serv. G. Ciencia, Universidad y Sdad. del Conocimi;Serv. G. Ciencia, Universidad y Sdad. del Conocimi
2021;5;54;542;;Invest Técnica y Aplicada;Investigación Técnica y Aplicada
2021;5;54;542;5421;Investigación Agroalimentaria;Investigación Agroalimentaria
2021;5;54;542;5422;Inv Tecnolog Aplic Indust;Investigación y Tecnología Aplicada a la Industria
2021;5;54;542;5423;Investigación, Desarrollo e Innovac Tec;Investigación, Desarrollo e Innovación Tecnológica
2021;5;54;542;5424;Inves y Dllo Sdad. Información;Investigación y Dllo. Sociedad de la Información
2021;5;54;542;5425;Inves. y Des. Area de Salud;Investigación y Desarrollo en el Área de la Salud
2021;5;54;542;5426;Administración electrónica;Administración electrónica
2021;5;55;;;Inform Básica y Estadíst;Información Básica y Estadística
2021;5;55;551;;Estadís, Cartogr y Meteor;Estadística, Cartografía y Meteorología
2021;5;55;551;5511;Elaboración y Difusión Estadística;Elaboración y Difusión Estadística
2021;6;;;;Reg Econom Caráct General;Regulación Económica de Carácter General
2021;6;61;;;Act Económicas Generales;Actuaciones Económicas Generales
2021;6;61;611;;Admón Gen. Hacienda y Administración Pública;Ad. Gen.de Hacienda y Administración Pública
2021;6;61;611;6111;Serv Generales Hacienda y Administración Pública;Serv. Gen. de Hacienda y Administración Pública
2021;6;61;611;6112;Ser.v Generales Economía, Planificación y Empleo;Serv. Generales Economía, Planificación y Empleo
2021;6;61;612;;Regulac Económica General;Regulación Económica General
2021;6;61;612;6120;Fondo Inversiones de Teruel;Fondo Inversiones de Teruel
2021;6;61;612;6121;Planific.y Direcc Presup;Planificación y Dirección Presupuestaria
2021;6;61;612;6122;Promoción y Dllo Económ.;Promoción y Desarrollo Económico
2021;6;61;612;6123;Plan Minería del Carbón;Plan Minería del Carbón y Dllo Alternat Com.Min
2021;6;61;612;6124;Corp. Empr. Públ. Aragón;Corporación Empresarial Pública de Aragón
2021;6;61;612;6125;Planificación Económica;Planificación Económica
2021;6;61;612;6126;Apoyo Dllo Econ y Social;Apoyo al Desarrollo Económico y Social
2021;6;61;612;6127;Gastos no clasificados;Gastos no clasificados
2021;6;61;612;6128;Fondo Gastos Personal;Fondo de Gastos de Personal
2021;6;61;612;6129;Fondo Contingencia;Fondo de Contingencia de Ejecución Presupuestaria
2021;6;61;615;;Asuntos de la C.E;Asuntos de la Comunidad Europea
2021;6;61;615;6152;Act Programas Europeos;Actuaciones relativas a Programas Europeos
2021;6;62;;;Comercio;Comercio
2021;6;62;622;;Comercio Interior;Comercio Interior
2021;6;62;622;6221;Ordción y Prom Comercial;Ordenación y Promoción Comercial
2021;6;62;623;;Comercio Exterior;Comercio Exterior
2021;6;62;623;6231;Comerc Ext. y Rel.Ec. Int;Comercio Exterior y Relaciones Económicas Inter
2021;6;63;;;Actividad Financiera;Actividad Financiera
2021;6;63;631;;Administración Financiera;Administración Financiera
2021;6;63;631;6311;Gestión e Inspec Tributos;Gestión e Inspección de Tributos
2021;6;63;631;6312;Control Interno y Contab;Control Interno y Contabilidad
2021;6;63;631;6313;Gestión del Patrimonio;Gestión del Patrimonio
2021;6;63;631;6314;Gestión de Tesorería;Gestión de Tesorería
2021;6;63;631;6315;Estudios Econ y Regulació;Estudios Económicos y Regulación
2021;6;64;;;Otras act. carácter econ.;Otras actuaciones de carácter económico
2021;6;64;641;;Junta Contratación Adtva.;Junta de Contratación Administrativa
2021;6;64;641;6411;Jta Cons. Contr.Ad y Reg;Jta Consultiva Contratación Admtva y Registros
2021;6;64;641;6412;Contratación Pública;Contratación Pública
2021;6;64;642;;Defensa Competencia;Defensa de la Competencia
2021;6;64;642;6421;Acts. Defensa Competencia;Actuaciones en materia de Defensa de Competencia
2021;7;;;;Reg Econ Sect Productivos;Regulación Económica de Sectores Productivos
2021;7;71;;;Agricultura y Ganadería;Agricultura y Ganadería
2021;7;71;711;;Ad.G Agricultura, Ganadería y Medio Ambiente;Adm.Gener. Agricultura, Ganadería y Medio Ambiente
2021;7;71;711;7111;Serv.Gen. Agricultura, Ganadería y Medio Ambiente;Serv.Gen. Agricultura, Ganadería y Medio Ambiente
2021;7;71;712;;Promoción Población Rural;Promoción de la Población Rural
2021;7;71;712;7121;Dllo Agroalim y Fmto Asoc;Desarrollo Agroalimentario y Fomento Asociativo
2021;7;71;712;7122;Coordinación y Gestión de Servicios Agroambientale;Coordinación y Gestión de Servicios Agroambient.
2021;7;71;712;7123;Producción Agraria y Gestión de Ayudas;Producción Agraria y Gestión de Ayudas
2021;7;71;712;7128;Política Agraria Comunitaria;Política Agraria Comunitaria
2021;7;71;716;;Calidad y Seguridad Alimentaria;Calidad y Seguridad Alimentaria
2021;7;71;716;7161;Calidad y Seguridad Alimentaria;Calidad y Seguridad Alimentaria
2021;7;72;;;Industria;Industria
2021;7;72;721;;Act Admtvas sobre Industria;Adm. General sobre Industria
2021;7;72;721;7211;Serv.Gen.  Industria, Competitividad y Des. Empres;Serv.Gen.  Industria, Competitividad y Des. Empres
2021;7;72;722;;Act Admtvas sobre Industria;Actuaciones Administrativas sobre Industria
2021;7;72;722;7221;Act Admtvas sobre Industria;Actuaciones Administrativas sobre Industria
2021;7;72;723;;Apoyo a la PYME;Apoyo a la Pequeña y Mediana Empresa
2021;7;72;723;7231;Fomento Industrial;Fomento Industrial
2021;7;73;;;Energía y Minas;Energía y Minas
2021;7;73;731;;Planif y Prod Energ y Minas;Planificación y Producción Energética y Minera
2021;7;73;731;7311;Fmto y Gestión Energética;Fomento y Gestión Energética
2021;7;73;731;7312;Apoyo a la Minería;Apoyo a la Minería
2021;7;75;;;Turismo;Turismo
2021;7;75;751;;Ordción y Prom Turística;Ordenación y Promoción Turística
2021;7;75;751;7511;Ordción y Prom y Fmto Turismo;Ordenación, Promoción y Fomento del Turismo
2021;9;;;;Transfer a otras AA.PP.;Transferencias a otras Administraciones Públicas
2021;9;91;;;Transfer AA.PP. Territ;Transferencias a AA.PP. Territoriales
2021;9;91;911;;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2021;9;91;911;9111;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2021;9;91;911;9112;Cohesión Comarcal;Cohesión Comarcal
