EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;0;;;;Deuda Pública;Deuda Pública
2021;0;01;;;Deuda Pública;Deuda Pública
2021;0;01;011;;Deuda Pública;Deuda Pública
2021;0;01;011;0111;Amortiz. y gastos Deuda;Amortización y Gastos Financieros de la Deuda
2021;1;;;;Servcios Carácter General;Servicios de Carácter General
2021;1;11;;;Alta Dirección C.A. y Gob;Alta Dirección de la C.A. y del Gobierno
2021;1;11;111;;Alta Dirección (Cortes);Alta Dirección de la C.A. (Cortes de Aragón)
2021;1;11;111;1111;Cortes de Aragón;Cortes de Aragón (Actividad Legislativa)
2021;1;11;111;1112;Actuaciones del Justicia;Actuaciones del Justicia de Aragón
2021;1;11;111;1113;Aljafería;Aljafería
2021;1;11;111;1114;Act. Cámara de Cuentas;Actuaciones de la Cámara de Cuentas de Aragón
2021;1;11;112;;Alta Dirección (P Gob.Ar);Alta Dirección de la C.A. (Presidencia Gob Aragón)
2021;1;11;112;1121;Presidencia y Órg Presid;Presidencia y Órganos de la Presidencia
2021;1;11;112;1124;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2021;1;11;112;1125;Consejo Cons. Aragón;Consejo Consultivo de Aragón
2021;1;12;;;Administración General;Administración General
2021;1;12;121;;Servicios Generales;Servicios Generales
2021;1;12;121;1211;Servicios Generales de Presidencia y Relacs.Instit;Servicios Generales de Presidencia y Relacs.Instit
2021;1;12;121;1212;Servicios Centrales, Edificios e Instalaciones;Servicios Centrales, Edificios e Instalaciones
2021;1;12;121;1213;Servicios de Seguridad y Protección Civil;Servicios de Seguridad y Protección Civil
2021;1;12;121;1214;No operativo;No operativo
2021;1;12;121;1215;Servicios de Interior;Servicios de Interior
2021;1;12;121;1216;Comunidades Aragonesas Exterior;Comunidades Aragonesas en el Exterior
2021;1;12;121;1217;Relac. Institucionales;Relaciones Institucionales
2021;1;12;121;1219;Unidad Policía Nacional adscrita a la C.Autónoma;Unidad Policía Nacional adscrita a la C.Autónoma
2021;1;12;122;;Función Pública;Función Pública
2021;1;12;122;1221;Dirección y Administración de la Función Pública;Dirección y Administración de la Función Pública
2021;1;12;123;;Formac y perfecc personal;Formación y Perfeccionamiento del personal (IAAP)
2021;1;12;123;1231;Selección, Formación y Perfeccionamiento Personal;Selección, Formación y Perfeccionamiento Personal
2021;1;12;125;;Gastos relat. Admón.Local;Gastos relativos a la Administración Local
2021;1;12;125;1251;Apoyo a la Administración Local;Apoyo a la Administración Local
2021;1;12;125;1252;Política Territorial;Política Territorial
2021;1;12;125;1253;Estrategias Territoriales;Estrategias Territoriales
2021;1;12;125;1259;Cooperación con la Policía Local;Cooperación con la Policía Local
2021;1;12;126;;Otros Servicios Generales;Otros Servicios Generales
2021;1;12;126;1261;Serv.Coord.Admva.Huesca;Servicios de Coordinación Administrativa en Huesca
2021;1;12;126;1262;Serv.Coord.Admva.Teruel;Servicios de Coordinación Administrativa en Teruel
2021;1;12;126;1263;Servicios Jurídicos;Servicios Jurídicos
2021;1;12;126;1264;IInformación Ciudadana y Doc Administrativa;Información Ciudadana y Documentación Admva.
2021;1;12;126;1265;Servicios Telemáticos;Servicios Telemáticos
