EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;1;14;140;;Otro personal;Otro personal
2021;G;1;14;140;140000;Otro personal;Otro personal
2021;G;1;14;140;140100;Otro personal docente;Otro personal docente
2021;G;1;15;;;Incentivos al rendimiento;Incentivos al rendimiento
2021;G;1;15;150;;Productividad;Productividad
2021;G;1;15;150;150000;Product fija Funcionarios;Productividad fija de Funcionarios
2021;G;1;15;150;150001;Product var. Funcionarios;Productividad variable de Funcionarios
2021;G;1;15;151;;Gratificaciones;Gratificaciones
2021;G;1;15;151;151000;Gratif. Funcionarios;Gratificaciones de Personal Funcionario
2021;G;1;15;151;151001;Gratif. no Funcionarios;Gratificaciones de Personal no Funcionario
2021;G;1;15;151;151002;Gratif. Pers Func Docente;Gratificaciones Personal Funcionario Docente
2021;G;1;15;151;151003;Jubilac. Docentes LOE;Incentivos jubilación Personal Docente L.O.E.
2021;G;1;15;151;151004;Jubilac. Docentes DGA;Incentivos jubilación Personal Docente D.G.A.
2021;G;1;15;151;151005;Gratif. Cuerpos Justicia;Gratific extraord. Cuerpos Nacionales de Justicia
2021;G;1;16;;;Cuotas sociales empleador;Cuotas, prest. y gtos soc. a cargo del empleador
2021;G;1;16;160;;Cuotas Sociales;Cuotas Sociales
2021;G;1;16;160;160000;Seguridad social;Seguridad social
2021;G;1;16;160;160001;MUFACE;MUFACE
2021;G;1;16;160;160009;Otras cuotas sociales;Otras cuotas sociales
2021;G;1;16;160;160100;S. Social Pers. Docente;Seguridad Social Personal Docente
2021;G;1;16;160;160200;SS Funcionarios Nal. Just;S. Social Funcionarios Cuerpos Nal. Justicia
2021;G;1;16;160;160300;SS Pers. Inst. Sanitarias;S. Social Personal Instituciones Sanitarias
2021;G;1;16;161;;Gtos.Soc.Func. y no labor;Gastos Sociales de Funcionarios y pers. no Laboral
2021;G;1;16;161;161000;Form.Perfecc. Fun no Lab.;Formación y perfeccion. Funcionarios y no Laboral
2021;G;1;16;161;161001;Economatos y comedores;Economatos y comedores. Funcionarios y no Laboral
2021;G;1;16;161;161009;Otros GtosSoc.Func no Lab;Otros Gtos Sociales de Funcionarios y no Laborales
2021;G;1;16;161;161109;Otros G Soc PFun y no L D;Otros g sociales p funcionario y no laboral docent
2021;G;1;16;162;;Gtos. sociales Laborales;Gastos sociales de Personal Laboral
2021;G;1;16;162;162000;Formac,perfecc. Laborales;Formación y perfeccionamiento de Personal Laboral
2021;G;1;16;162;162001;Economatos y comedores;Economatos y comedores de Personal Laboral
2021;G;1;16;162;162009;Otros gtos social Labor.;Otros gastos sociales de Personal Laboral
2021;G;1;16;162;162109;Otros G Soc PLDocente;Otros gastos sociales personal laboral docente
2021;G;1;16;162;162110;Formación Profesional para el Empleo. FUNDAE;Formación Profesional para el Empleo. FUNDAE
2021;G;1;16;165;;Fondo de Acción Social;Fondo de Acción Social
2021;G;1;16;165;165000;Fondo de Acción Social;Fondo de Acción Social
2021;G;1;16;165;165001;Fondo de pensiones;Fondo de pensiones
2021;G;1;16;165;165002;Fondo Especial de Acción Social;Fondo Especial de Acción Social
2021;G;1;17;;;Gtos personal distribuir;Gastos de personal a distribuir
2021;G;1;17;170;;Fondo Incremento Norm.;Fondo de Incremento Normativo
2021;G;1;17;170;170000;Fondo Incremento Normat.;Fondo de Incremento Normativo
2021;G;1;17;170;170171;FITE. CONVOCATO GASISTICOS, ELECTRICOS E HIDRAULIC;FITE. CONVOCATO GASISTICOS, ELECTRICOS E HIDRAULIC
2021;G;1;17;171;;Fondos Adicionales;Fondos Adicionales
2021;G;1;17;171;171000;Fondos Adicionales;Fondos Adicionales
2021;G;1;17;172;;Otros Fondos Adicionales;Otros Fondos Adicionales
2021;G;1;17;172;172000;Otros Fondos Adicionales;Otros Fondos Adicionales
2021;G;1;18;;;Pers. Instit. Sanitarias;Personal de Instituciones Sanitarias
2021;G;1;18;180;;Ret. Func, est,no labor;Retr. personal. func., Estatutario y no laboral
2021;G;1;18;180;180000;Sueldos del grupo A;Sueldos del grupo A
2021;G;1;18;180;180001;No operativo;No operativo
2021;G;1;18;180;180002;Sueldos del grupo B;Sueldos del grupo B
2021;G;1;18;180;180003;No operativo;No operativo
2021;G;1;18;180;180004;Sueldos grupo C;Sueldos del grupo C
2021;G;1;18;180;180005;Sueldos grupo D;Sueldos del grupo D
2021;G;1;18;180;180006;Sueldos grupo E;Sueldos del grupo E
2021;G;1;18;180;180050;Antigüedad;Antigüedad
