# Comarcas obtenidas a partir de - por ejemplo - http://opendata.aragon.es/dataset/cifras-poblacion-revision-padron-municipal-2006-comarcas
# Municipios obtenidos del INE: http://www.ine.es/daco/daco42/codmun/codmunmapa.htm
CA1,comunidad,Aragón
22230,municipio,Torla
22232,municipio,Torralba de Aragón
22233,municipio,Torre la Ribera
22234,municipio,Torrente de Cinca
22235,municipio,Torres de Alcanadre
22236,municipio,Torres de Barbués
22239,municipio,Tramaced
22242,municipio,Valfarta
22243,municipio,Valle de Bardají
22901,municipio,Valle de Hecho
22244,municipio,Valle de Lierp
22245,municipio,Velilla de Cinca
22909,municipio,Vencillón
22247,municipio,Viacamp y Litera
22248,municipio,Vicién
22249,municipio,Villanova
22250,municipio,Villanúa
22251,municipio,Villanueva de Sigena
22252,municipio,Yebra de Basa
22253,municipio,Yésero
22254,municipio,Zaidín
44001,municipio,Ababuj
44002,municipio,Abejuela
44003,municipio,Aguatón
44004,municipio,Aguaviva
44005,municipio,Aguilar del Alfambra
44006,municipio,Alacón
44007,municipio,Alba
44008,municipio,Albalate del Arzobispo
44009,municipio,Albarracín
44010,municipio,Albentosa
44011,municipio,Alcaine
44012,municipio,Alcalá de la Selva
44013,municipio,Alcañiz
44014,municipio,Alcorisa
44016,municipio,Alfambra
44017,municipio,Aliaga
44021,municipio,Allepuz
44022,municipio,Alloza
44023,municipio,Allueva
44018,municipio,Almohaja
44019,municipio,Alobras
44020,municipio,Alpeñés
44024,municipio,Anadón
44025,municipio,Andorra
44026,municipio,Arcos de las Salinas
44027,municipio,Arens de Lledó
44028,municipio,Argente
44029,municipio,Ariño
44031,municipio,Azaila
44032,municipio,Bádenas
44033,municipio,Báguena
44034,municipio,Bañón
44035,municipio,Barrachina
44036,municipio,Bea
44037,municipio,Beceite
44039,municipio,Bello
44038,municipio,Belmonte de San José
44040,municipio,Berge
44041,municipio,Bezas
44042,municipio,Blancas
44043,municipio,Blesa
44044,municipio,Bordón
44045,municipio,Bronchales
44046,municipio,Bueña
44047,municipio,Burbáguena
44048,municipio,Cabra de Mora
44049,municipio,Calaceite
44050,municipio,Calamocha
44051,municipio,Calanda
44052,municipio,Calomarde
44053,municipio,Camañas
44054,municipio,Camarena de la Sierra
44055,municipio,Camarillas
44056,municipio,Caminreal
44059,municipio,Cantavieja
44060,municipio,Cañada de Benatanduz
44061,municipio,La Cañada de Verich
44062,municipio,Cañada Vellida
44063,municipio,Cañizar del Olivar
44064,municipio,Cascante del Río
44065,municipio,Castejón de Tornos
44066,municipio,Castel de Cabra
44070,municipio,El Castellar
44071,municipio,Castellote
44067,municipio,Castelnou
44068,municipio,Castelserás
44074,municipio,Cedrillas
44075,municipio,Celadas
44076,municipio,Cella
44077,municipio,La Cerollera
44080,municipio,La Codoñera
44082,municipio,Corbalán
44084,municipio,Cortes de Aragón
44085,municipio,Cosa
44086,municipio,Cretas
44087,municipio,Crivillén
44088,municipio,La Cuba
44089,municipio,Cubla
44090,municipio,Cucalón
44092,municipio,El Cuervo
44093,municipio,Cuevas de Almudén
44094,municipio,Cuevas Labradas
44096,municipio,Ejulve
44097,municipio,Escorihuela
44099,municipio,Escucha
44100,municipio,Estercuel
44101,municipio,Ferreruela de Huerva
44102,municipio,Fonfría
44103,municipio,Formiche Alto
44105,municipio,Fórnoles
44106,municipio,Fortanete
44107,municipio,Foz-Calanda
44108,municipio,La Fresneda
44109,municipio,Frías de Albarracín
44110,municipio,Fuenferrada
44111,municipio,Fuentes Calientes
44112,municipio,Fuentes Claras
44113,municipio,Fuentes de Rubielos
44114,municipio,Fuentespalda
44115,municipio,Galve
44116,municipio,Gargallo
44117,municipio,Gea de Albarracín
44118,municipio,La Ginebrosa
44119,municipio,Griegos
44120,municipio,Guadalaviar
44121,municipio,Gúdar
44122,municipio,Híjar
44123,municipio,Hinojosa de Jarque
44124,municipio,La Hoz de la Vieja
44125,municipio,Huesa del Común
44126,municipio,La Iglesuela del Cid
44127,municipio,Jabaloyas
